dRFl	dRFd	dJ	dth
0.9905030786	0.9903483756	0.9896452463	99.8934076314
0.9903464775	0.9901656898	0.9894175657	99.8907959739
0.9901011607	0.9899151767	0.9891690442	99.8882606018
0.9898615672	0.9896841444	0.9889262442	99.8857061993
0.9895831059	0.9894128226	0.9886683019	99.8830755801
0.9893117979	0.9891837459	0.9884255634	99.8806546786
0.9890609186	0.9889271926	0.9881790626	99.8781003734
0.9888323569	0.9886891636	0.9879344883	99.8754889159
0.988622312	0.9884288818	0.9877013178	99.8729346768
0.9884084969	0.9881643683	0.9874549073	99.8703804702
0.9881776405	0.9879103169	0.9871952618	99.8677500529
0.9879397018	0.9876889965	0.9869451248	99.8651959127
0.9877155347	0.9874809685	0.9866988087	99.8626608655
0.9875558371	0.9873222375	0.9864771504	99.8601639708
0.9873165518	0.9871350934	0.9862365752	99.8576861672
0.9870730318	0.9869077017	0.9859998173	99.855227454
0.9868072787	0.9866623375	0.9857574066	99.8528259494
0.9865661896	0.9864321588	0.9855188127	99.8503672961
0.9863218151	0.9861930097	0.9852859274	99.8480039679
0.9860840999	0.9859486813	0.9850549627	99.8455644327
0.9858113783	0.9856887606	0.9848088826	99.8430296347
0.9855784585	0.9854104135	0.9845704035	99.8404948689
0.9853323129	0.985193633	0.9843281686	99.8380935415
0.9851056023	0.9849929666	0.984093532	99.8356922429
0.9848737123	0.9847686609	0.9838627071	99.833214743
0.9847123519	0.9845902757	0.9836508261	99.8306991591
0.9845410688	0.9844322503	0.9834295105	99.8281836069
0.9843106645	0.9842236194	0.9831911985	99.8257252569
0.9841138723	0.984028728	0.9829529154	99.8231907108
0.9839000724	0.9838158832	0.9827033164	99.8206371404
0.9837014295	0.9836011698	0.9824669829	99.8180645466
0.9834928761	0.9833439229	0.9822306779	99.8155682095
0.9833094052	0.9831160227	0.9819981815	99.8130528479
0.9831486458	0.9829444058	0.9817770519	99.8106137397
0.9829429875	0.9827477503	0.9815483886	99.8081746613
0.9827865125	0.9826319407	0.981332978	99.8057737226
0.9826210691	0.9824646197	0.9811100341	99.8033728128
0.9824598934	0.9822708478	0.9808890046	99.8009528773
0.9822278424	0.9820340938	0.9806491118	99.7985329712
0.9820511051	0.9818857236	0.9804224684	99.7960940404
0.9818696587	0.9817283879	0.9801826327	99.7935789243
0.981694371	0.9815474437	0.9799466025	99.7910638398
0.9815767338	0.9814482386	0.979727592	99.788548787
0.9814420975	0.9812885761	0.9795218199	99.7862242967
0.9812663756	0.9810774448	0.9793085194	99.7839188864
0.9811567935	0.9809352865	0.9790952421	99.7814991868
0.9810491068	0.9807954995	0.9788876493	99.7791366738
0.9808351678	0.9806245575	0.9786649834	99.7768503975
0.9806349458	0.9803884741	0.9784517761	99.7745450954
0.9803960284	0.9801439218	0.9782216139	99.7722779235
0.9801576121	0.9799196969	0.9779877062	99.7699917258
0.979953683	0.9797375036	0.9777613706	99.7677055543
0.9796685955	0.9794670769	0.9775124317	99.7653813068
0.9794260206	0.979214146	0.9772804944	99.7630570863
0.9792098993	0.9789555863	0.9770410433	99.7606376397
0.9790088997	0.9787154584	0.9768035067	99.7581801216
0.9788041466	0.9785211131	0.9765659989	99.7557607341
0.9786145096	0.9783145245	0.9763454818	99.7533985258
0.978342823	0.9780744752	0.9761004921	99.7509791963
0.978104185	0.9778240818	0.9758630698	99.7486360942
0.977855674	0.9776302966	0.9756200245	99.7462168224
0.9776053086	0.9773601608	0.9753770095	99.7438928252
0.9773728889	0.9771009034	0.9751415587	99.7415307575
0.9771456817	0.9769062472	0.974917436	99.7391687177
0.9769015342	0.9766951166	0.9746820407	99.7367686091
0.9767337593	0.9765495064	0.9744673849	99.7343685294
0.9766423375	0.976459978	0.974267814	99.7319684786
0.9765108673	0.9762931834	0.9740400268	99.7295303613
0.9763233373	0.976117923	0.9738122663	99.7271303687
0.9761697457	0.9759841327	0.9735977063	99.7247875467
0.9759520997	0.9757947691	0.9733587069	99.7223304702
0.9757245868	0.9755828167	0.9731291445	99.7200067512
0.9755460807	0.9754123296	0.9729240665	99.7177973387
0.9753285043	0.9751721657	0.972703961	99.7155689043
0.9751434422	0.9749645184	0.9724932851	99.7133595409
0.9749169651	0.9747663089	0.9722713477	99.7111311561
0.9746768623	0.9745299904	0.9720531965	99.7088837505
0.9744636192	0.9742951125	0.971829429	99.7065601882
0.9742339266	0.9740762639	0.9715944068	99.7041795173
0.9740499096	0.9738884972	0.9713669324	99.7017798297
0.9738080313	0.973689456	0.971137605	99.6994373055
0.9736560492	0.9735120772	0.9709252194	99.6971900316
0.9735026676	0.9733111928	0.9707053401	99.6948285169
0.9733220127	0.9730764618	0.9704760908	99.6924860743
0.9731352595	0.9729047828	0.9702675351	99.690200791
0.9729569904	0.9727524009	0.9700571232	99.687972665
0.9727420544	0.9725200886	0.9698223154	99.6856112594
0.9724514348	0.9723197768	0.9695819017	99.6833260549
0.9721509854	0.9720409733	0.9693321284	99.6809837474
0.9719384889	0.9717918235	0.9691011637	99.6786605103
0.9717246056	0.9716023971	0.9688758588	99.6763563428
0.9714872461	0.9713749218	0.9686524573	99.6741474139
0.9713152374	0.9712226598	0.9684497287	99.6719004251
0.9710873258	0.9710708796	0.9682320067	99.6695963358
0.9709346165	0.9709247495	0.9680311987	99.6673303565
0.9708481648	0.970825143	0.9678397936	99.6650644031
0.9707626567	0.9707109777	0.967644655	99.6628555993
0.9706550721	0.9705846051	0.9674195195	99.6603992859
0.970607624	0.9705136708	0.9672225474	99.6581334112
0.9705108523	0.970378856	0.9670199684	99.6558675623
0.9704380418	0.9702764593	0.9668267879	99.6537159817
0.9702900806	0.9700801359	0.9666017476	99.6514311427
0.9700857717	0.969977755	0.9663861085	99.64920345
0.9699763461	0.9699251577	0.9661836172	99.6469757822
0.9699073126	0.9698124541	0.9659848963	99.6447481393
0.9698302984	0.9696424719	0.9657805726	99.6425014819
0.9697330959	0.9694814251	0.965572522	99.6402929281
0.9695588949	0.9692368287	0.9653532497	99.6381034378
0.9693058384	0.9689425088	0.9651115169	99.6357616617
0.969051876	0.968718161	0.9648698142	99.6334008746
0.9688979188	0.9685562524	0.9646356352	99.631078192
0.9687594615	0.9683995191	0.9644164693	99.6287936126
0.9686693523	0.9682798659	0.964202947	99.6264329081
0.9685130791	0.9680405818	0.9639950664	99.6241864572
0.9684290816	0.9679082845	0.9637946983	99.6219019569
0.9682944116	0.9677225205	0.963588734	99.6197317058
0.9681710114	0.9675841473	0.9633790476	99.6175614783
0.9680011731	0.9674340587	0.9631600245	99.6152960907
0.9677478509	0.9672103545	0.9629279247	99.6130307288
0.9675761735	0.9670180928	0.9627108244	99.6108034653
0.9673623017	0.966833352	0.962497491	99.6086523712
0.9671254757	0.9666809775	0.9622748261	99.6064441926
0.9670232508	0.9666247192	0.9620690244	99.6041979671
0.9668999317	0.9666087797	0.9618707271	99.6019898379
0.9666626934	0.9664817368	0.9616313011	99.599705592
0.9664817368	0.9662923599	0.9614124768	99.5974594425
0.9662923599	0.9661011268	0.9611899375	99.5951752486
0.9660214519	0.9658649238	0.9609580751	99.5929101155
0.9657815098	0.9656278126	0.9607281103	99.590683077
0.9655242612	0.9653579348	0.9604925651	99.5884370292
0.9653546553	0.965180848	0.9602720013	99.5861910067
0.9652023974	0.965024388	0.9600589384	99.5839450095
0.9651288494	0.9649986249	0.9598552424	99.5816609706
0.9650927791	0.9649466312	0.9596627789	99.5794911579
0.9651073009	0.9649255531	0.9594778078	99.5773023357
0.9650389092	0.964821571	0.9592610968	99.5750754717
0.9649358579	0.9647363287	0.9590500139	99.5729437961
0.9647986208	0.9646267369	0.9588501604	99.5708311759
0.9646150288	0.9644778145	0.9586353877	99.5685663197
0.9644773462	0.9643663643	0.9584355774	99.5664347138
0.9643279671	0.9642928482	0.9582264524	99.564265067
0.9642198032	0.9642169938	0.9580117496	99.5620764121
0.9640601438	0.9641196048	0.9577970709	99.5598687498
0.963833085	0.9638649184	0.9575712175	99.5576040183
0.9637315024	0.9637413327	0.9573696519	99.5553964056
0.9637202678	0.9636739257	0.9571811699	99.5532459098
0.9636341379	0.9634918448	0.9569815111	99.5510573761
0.9635896702	0.9634090014	0.9567874703	99.5489259577
0.9635007379	0.963285445	0.9565859872	99.546794562
0.9633785796	0.9630977854	0.9563658724	99.5445490092
0.9631342863	0.9628605461	0.9561308626	99.5423225115
0.9629171627	0.962653746	0.9559014761	99.5400579795
0.9626902386	0.9624937485	0.9556814402	99.5378505613
0.9624058024	0.9623038272	0.9554632939	99.5357192843
0.9622406802	0.9621457297	0.9552638145	99.5335309432
0.9621747289	0.9620330113	0.9550606278	99.5313997124
0.9620143035	0.9618566974	0.9548537352	99.5293065615
0.9617916945	0.9616214815	0.9546450014	99.5271944042
0.961707989	0.9615387185	0.9544549244	99.5251012975
0.9615115992	0.9612712829	0.9542406446	99.5229321011
0.9612778281	0.9610267895	0.9540226629	99.5207629283
0.9610127659	0.9607603598	0.9537953922	99.5185747516
0.9607528816	0.9605757504	0.9535718737	99.516386599
0.9606575372	0.960518268	0.9533744541	99.5141984705
0.9606374407	0.9604645259	0.9531845036	99.5120674466
0.9605341573	0.9603402239	0.9529685045	99.5098032588
0.9603785417	0.9601981742	0.9527488064	99.5076152026
0.9603561116	0.9601799515	0.9525458874	99.5055032756
0.9602234059	0.9600276351	0.952331822	99.5033342927
0.9601061279	0.959884207	0.9521382532	99.5012224111
0.9600131516	0.9597136957	0.951942843	99.4990534749
0.9598103948	0.9594918202	0.9517344277	99.4969416387
0.9596053238	0.9592550255	0.9515111508	99.4946966482
0.959502096	0.9591284668	0.951299062	99.4925277831
0.9593199427	0.9589145969	0.9510758362	99.4902828425
0.9590822352	0.9586736715	0.9508489168	99.4880759763
0.9589566218	0.9584999999	0.9506350422	99.4859071834
0.9588669697	0.9584052342	0.9504230511	99.4837384141
0.9588408219	0.9583291449	0.9502240985	99.4815696685
0.9586937475	0.9581699739	0.9500102942	99.479362899
0.9585658252	0.9580411532	0.9498169614	99.4772702953
0.9584757245	0.9579818799	0.949625507	99.4752157604
0.9583898293	0.958017817	0.9494303549	99.4731041772
0.9582983366	0.9579076741	0.9492333645	99.4709545705
0.9581055625	0.9577462049	0.949025246	99.4688240097
0.957940343	0.9576794745	0.9488227239	99.466769562
0.9577541381	0.9574928284	0.9486183658	99.4647151355
0.9576155462	0.9573827157	0.9484177447	99.4626797525
0.9573841154	0.9571830359	0.9481985718	99.4605302584
