29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,24.565,24.565,24.565,24.565,24.565,24.565,24.565,24.565,24.565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.688,19.688,19.688,19.688,19.688,19.688,19.688,19.688,19.688,12.609,12.609,12.609,12.609,12.609,12.609,12.609,12.609,12.609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.86957,0.86957,0.86957,0.86957,0.86957,0.86957,0.86957,0.86957,0.86957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.812,12.812,12.812,12.812,12.812,12.812,12.812,12.812,12.812,6.7391,6.7391,6.7391,6.7391,6.7391,6.7391,6.7391,6.7391,6.7391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,0,0,0,0,0,0.86957,0.86957,0.86957,0.86957,0.86957,0.86957,0.86957,0.86957,0.86957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.875,11.875,11.875,11.875,11.875,11.875,11.875,11.875,11.875,7.6087,7.6087,7.6087,7.6087,7.6087,7.6087,7.6087,7.6087,7.6087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.9565,6.9565,6.9565,6.9565,6.9565,6.9565,6.9565,6.9565,6.9565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,6.9565,6.9565,6.9565,6.9565,6.9565,6.9565,6.9565,6.9565,6.9565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.812,37.812,37.812,37.812,37.812,37.812,37.812,37.812,37.812,37.391,37.391,37.391,37.391,37.391,37.391,37.391,37.391,37.391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.4444,4.4444,4.4444,4.4444,4.4444,4.4444,4.4444,4.4444,4.4444,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0,0,0,0,0,0,0,0,0
