27.826,23.6,23.421,30.185,25.741,23.269,27.4,25.357,21.6,27.5,27.2,22.045,30.263,24.8,25.217,28.421,28.148,26.296,28.056,26.364,22.083,26.667,25.5,23.929,27.75,25.294,26.739
19.565,15,13.421,21.296,15.556,11.538,20.6,17.143,12.2,15,15,9.7727,17.895,14,12.826,18.421,16.296,12.593,14.444,10.682,7.9167,17.083,12.25,12.5,17,13.824,11.304
0,0.6,0,0.37037,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.27778,0.68182,0,0,0,0,0,0,0
1.9565,2.2,5.2632,1.6667,1.8519,3.6538,1.2,0.71429,1.6,1.25,2.4,2.2727,1.3158,1.8,1.9565,0.52632,1.2963,1.1111,0.83333,1.1364,3.125,0.83333,2.25,0.35714,1.75,0.58824,1.087
13.478,8,2.8947,13.704,6.8519,1.7308,12.6,10,2.6,11.5,3.2,1.3636,9.2105,4.2,3.6957,13.421,7.7778,2.037,16.944,2.5,1.0417,8.75,5.75,2.5,13.75,2.9412,3.0435
0.21739,0.4,3.6842,0.18519,0.74074,1.7308,0,0.17857,1,0.75,1.2,10.455,0.52632,1.8,9.5652,3.1579,0.74074,5.5556,0,4.7727,15.208,1.4583,4,7.1429,1.75,5.2941,9.3478
11.087,7.6,8.6842,9.8148,4.8148,3.6538,7.2,5,2,8,9.8,7.5,8.1579,6,4.3478,7.8947,2.4074,4.4444,12.778,10.909,8.125,8.75,6.75,4.2857,7.5,3.8235,5.8696
0,0,0.26316,0,0.18519,0.19231,0,0,0.4,0,0.2,0.22727,0,0,0.43478,0,0,0.74074,0,0,0.41667,0,0,0.35714,0,0.29412,0.43478
15.217,12.2,12.368,13.333,16.111,14.423,15.4,15,12.2,13.75,12.4,13.636,14.474,15.4,13.696,12.632,15.556,13.519,16.111,10.909,13.958,16.042,14.25,16.429,13.5,12.941,15.435
1.7391,11,12.105,2.2222,9.8148,11.923,3.6,7.6786,11.2,0.5,3.6,6.3636,0.78947,4.2,6.7391,1.8421,3.7037,5.7407,0.55556,1.3636,4.1667,1.0417,2.5,4.6429,1.25,1.7647,3.6957
